Fixed,Naive,Honest_Split
0.792,0.534,0.942
0.61,0.476,0.432
0.286,0.172,0.664
0.908,0.556,0.406
0.262,0.192,0.112
0.134,0.114,0.66
0.122,0.058,0.106
0.45,0.364,0.822
0.034,0.008,0.218
0.596,0.512,0.258
0.846,0.72,0.914
0.604,0.548,0.246
0.574,0.286,0.286
0.424,0.198,0.59
0.764,0.72,0.288
0.592,0.368,0.112
0.2,0.142,0.368
0.916,0.572,0.834
0.41,0.384,0.836
0.556,0.224,0.222
0.51,0.186,0.258
0.472,0.33,0.136
0.572,0.54,0.684
0.826,0.486,0.472
0.926,0.896,1
0.248,0.132,0.228
0.016,0.008,0.026
0.046,0.022,0.058
0.516,0.352,0.618
0.998,0.958,0.552
0.048,0.016,0.386
0.064,0.032,0.01
0.122,0.128,0.392
0.886,0.582,0.8
0.738,0.592,0.982
0.112,0.1,0.344
0.086,0.08,0.878
0.766,0.472,0.6
0.956,0.694,0.9
0.464,0.2,0.326
0.18,0.048,0.068
0.792,0.7,0.422
0.248,0.046,0.054
0.288,0.15,0.13
0.784,0.434,0.53
0.808,0.582,0.862
0.124,0.084,0.636
0.688,0.542,0.294
0.154,0.074,0.626
0.104,0.05,0.096
0.378,0.27,0.366
0.86,0.584,0.766
0.324,0.17,0.316
0.72,0.248,0.266
0.474,0.466,0.542
0.716,0.48,0.548
0.712,0.682,0.334
0.352,0.27,0.674
0.142,0.112,0.022
0.344,0.166,0.946
0.06,0.018,0.154
0.928,0.846,0.108
0.864,0.532,0.078
0.212,0.07,0.244
0.35,0.22,0.13
0.922,0.724,0.934
0.05,0.052,0.636
0.486,0.386,0.01
0.594,0.586,0.78
0.464,0.312,0.512
0.448,0.388,0.74
0.24,0.19,0.502
0.858,0.698,0.604
0.782,0.57,0.912
0.202,0.168,0.096
0.59,0.504,0.422
0.304,0.07,0.936
0.008,0.004,0.006
0.976,0.894,0.872
0.426,0.256,0.432
0.086,0.028,0.128
0.212,0.098,0.516
0.66,0.372,0.98
0.012,0.002,0.072
0.596,0.526,0.048
0.028,0.02,0.02
0.942,0.784,0.952
0.332,0.196,0.184
0.464,0.444,0.878
0.44,0.212,0.53
0.676,0.314,0.636
0.228,0.106,0.458
0.018,0.006,0.05
0.368,0.308,0.248
0.294,0.172,0.388
0.026,0.02,0.31
0.59,0.232,0.33
0.422,0.206,0.35
0.536,0.356,0.784
0.944,0.698,0.332
0.64,0.536,0.87
0.49,0.362,0.976
0.03,0.024,0.06
0.23,0.158,0.536
0.568,0.35,0.602
0.098,0.074,0.248
0.96,0.524,0.398
0.512,0.4,0.85
0.74,0.708,0.91
0.74,0.622,0.51
0.416,0.314,0.456
0.15,0.042,0.12
0.108,0.032,0.342
0.724,0.554,0.648
0.026,0.024,0.006
0.82,0.624,0.36
0.998,0.79,0.296
0.288,0.212,0.096
0.006,0.002,0.122
0.3,0.192,0.07
0.596,0.36,0.662
0.352,0.272,0.424
0.826,0.668,0.56
0.768,0.696,0.042
0.252,0.158,0.098
0.068,0.056,0.59
0.576,0.274,0.654
0.238,0.102,0.472
0.758,0.738,0.686
0.636,0.554,0.958
0.016,0.006,0.19
0.442,0.388,0.582
0.312,0.186,0.916
0.398,0.174,0.266
0.56,0.146,0.38
0.844,0.624,0.87
0.222,0.196,0.256
0.19,0.126,0.392
0.198,0.084,0.252
0.3,0.23,0.488
0.834,0.686,0.336
0.224,0.068,0.74
0.006,0.006,0.012
0.834,0.58,0.686
0.064,0.048,0.03
0.308,0.238,0.554
0.412,0.394,0.544
0.896,0.692,0.83
0.114,0.096,0.01
0.14,0.088,0.072
0.312,0.196,0.508
0.482,0.344,0.102
0.394,0.256,0.256
0.41,0.272,0.94
0.77,0.644,0.83
0.078,0.012,0.382
0.582,0.188,0.53
0.704,0.41,0.874
0.92,0.6,0.77
0.822,0.694,0.6
0.254,0.208,0.246
0.864,0.62,0.558
0.52,0.21,0.53
0.954,0.866,0.324
0.956,0.766,0.104
0.688,0.674,0.76
0.214,0.11,0.236
0.522,0.458,0.406
0.172,0.146,0.49
0.056,0.026,0.466
0.156,0.058,0.93
0.31,0.14,0.914
0.032,0.012,0.028
0.25,0.094,0.646
0.354,0.196,0.1
0.022,0.014,0.432
0.494,0.446,0.618
0.364,0.358,0.738
0.776,0.626,0.116
0.204,0.12,0.446
0.846,0.742,0.638
0.196,0.126,0.434
0.538,0.432,0.48
0.042,0.022,0.176
0.744,0.708,0.498
0.97,0.8,0.926
0.768,0.732,0.074
0.848,0.636,0.334
0.214,0.148,0.182
0.89,0.648,0.958
0.952,0.644,0.804
0.292,0.206,0.314
0.86,0.686,0.428
0.436,0.346,0.582
0.606,0.56,0.398
0.112,0.086,0.318
0.52,0.436,0.888
0.51,0.35,1
0.546,0.266,0.084
0.018,0.008,0.026
0.094,0.054,0.226
0.726,0.664,0.528
0.362,0.272,0.378
0.874,0.68,0.328
0.448,0.27,0.85
0.998,0.988,0.87
0.828,0.524,0.988
0.258,0.086,0.386
0.062,0.034,0.742
0.764,0.31,0.986
0.22,0.146,0.292
0.62,0.484,0.274
0.384,0.186,0.506
0.066,0.044,0.11
0.936,0.78,0.506
0.184,0.132,0.31
0.866,0.486,0.732
0.702,0.44,0.708
0.006,0.004,0.012
0.974,0.726,0.818
0.102,0.054,0.19
0.82,0.634,0.564
0.682,0.428,0.338
0.45,0.424,0.888
0.652,0.592,0.364
0.528,0.198,0.292
0.534,0.134,0.452
0.104,0.066,0.544
0.608,0.312,0.54
0.524,0.452,0.928
0.996,0.818,0.63
0.022,0.012,0.056
0.37,0.226,0.552
0.816,0.65,0.52
0.9,0.784,0.978
0.642,0.36,0.784
0.212,0.136,0.492
0.856,0.458,0.27
0.476,0.328,0.418
0.978,0.74,0.99
0.236,0.184,0.684
0.878,0.7,0.884
0.388,0.254,0.538
0.574,0.45,0.768
0.522,0.514,0.392
0.172,0.156,0.736
0.22,0.122,0.324
0.228,0.072,0.198
0.044,0.022,0.398
0.392,0.248,0.524
0.208,0.138,0.658
0.9,0.652,0.43
0.472,0.38,0.574
0.674,0.652,0.782
0.962,0.714,0.756
0.076,0.048,0.896
0.62,0.32,0.846
0.144,0.134,0.07
0.07,0.048,0.048
0.134,0.052,0.3
0.524,0.476,0.276
0.084,0.036,0.342
0.288,0.136,0.82
0.022,0.008,0.034
0.662,0.396,0.984
0.64,0.368,0.99
0.34,0.278,0.484
0.016,0.01,0.136
0.544,0.306,0.402
0.46,0.234,0.634
0.056,0.034,0.476
0.466,0.336,0.3
0.286,0.236,0.22
0.098,0.064,0.124
0.482,0.416,0.502
0.87,0.784,0.332
0.57,0.37,0.64
0.24,0.2,0.326
0.996,0.838,0.798
0.946,0.616,0.876
0.834,0.472,0.842
0.61,0.29,0.766
0.63,0.478,0.938
0.054,0.022,0.286
0.68,0.636,0.046
0.124,0.116,0.674
0.426,0.24,0.218
0.996,0.934,0.782
0.222,0.146,0.918
0.392,0.342,0.996
0.13,0.082,0.262
0.478,0.306,0.458
0.362,0.222,0.566
0.656,0.516,0.314
0.41,0.262,0.67
0.4,0.282,0.496
0.076,0.064,0.172
0.292,0.124,0.142
0.986,0.876,0.798
0.872,0.736,0.944
0.056,0.022,0.084
0.704,0.596,0.86
0.9,0.652,0.366
0.148,0.092,0.3
0.49,0.256,0.2
0.396,0.366,0.658
0.742,0.51,0.996
0.952,0.822,0.878
0.934,0.752,0.67
0.27,0.214,0.112
0.912,0.802,0.212
0.742,0.55,0.962
0.192,0.05,0.008
0.842,0.81,0.096
0.316,0.266,0.924
0.438,0.218,0.882
0.7,0.7,0.5
0.664,0.362,0.124
0.26,0.216,0.638
0.02,0.014,0.12
0.744,0.616,0.71
0.86,0.644,0.26
0.888,0.498,0.696
0.724,0.302,0.716
0.89,0.528,0.93
0.524,0.532,0.748
0.998,0.856,0.188
0.4,0.21,0.672
0.942,0.904,0.898
0.94,0.846,0.098
0.27,0.164,0.812
0.534,0.34,0.964
0.904,0.658,0.442
0.338,0.204,0.64
0.856,0.754,0.968
0.642,0.428,0.92
0.732,0.456,0.37
0.252,0.112,0.232
0.368,0.082,0.43
0.56,0.406,0.376
0.236,0.074,0.812
0.56,0.372,0.786
0.438,0.318,0.204
0.178,0.112,0.7
0.182,0.146,0.518
0.992,0.782,0.982
0.558,0.386,0.388
0.83,0.658,0.496
0.476,0.156,0.064
0.882,0.588,0.644
0.994,0.978,0.824
0.72,0.536,0.154
0.186,0.09,0.188
0.798,0.616,0.978
0.108,0.07,0.61
0.048,0.036,0.68
0.604,0.43,0.754
0.932,0.804,0.824
0.64,0.356,0.456
0.642,0.358,0.71
0.702,0.676,0.674
0.21,0.076,0.244
0.582,0.428,0.216
0.912,0.676,0.984
0.116,0.09,0.282
0.548,0.408,0.522
0.354,0.346,0.654
0.216,0.12,0.266
0.83,0.648,0.766
0.99,0.808,0.894
0.09,0.05,0.484
0.69,0.47,0.664
0.56,0.392,0.518
0.418,0.13,0.148
0.964,0.874,0.276
0.534,0.458,0.804
0.474,0.282,0.728
0.944,0.796,0.664
0.104,0.044,0.216
0.842,0.778,0.856
0.48,0.258,0.55
0.392,0.294,0.344
0.182,0.154,0.206
0.814,0.53,0.502
0.602,0.318,0.944
0.868,0.614,0.408
0.048,0.018,0.026
0.842,0.678,0.456
0.186,0.162,0.65
0.064,0.046,0.184
0.476,0.452,0.4
0.446,0.31,0.276
0.894,0.604,0.938
0.082,0.058,0.25
0.67,0.664,0.888
0.332,0.236,0.598
0.512,0.376,0.204
0.098,0.064,0.438
0.014,0.004,0.012
0.932,0.616,0.788
0.912,0.69,0.502
0.96,0.704,0.828
0.15,0.058,0.196
0.888,0.806,0.782
0.278,0.174,0.64
0.364,0.216,0.528
0.412,0.282,0.072
0.792,0.746,0.37
0.33,0.286,0.656
0.43,0.344,0.786
0.988,0.944,0.524
0.362,0.182,0.83
0.926,0.76,0.04
0.188,0.084,0.424
0.842,0.608,1
0.456,0.444,0.854
0.96,0.868,0.078
0.91,0.77,0.242
0.272,0.18,0.24
0.372,0.246,0.122
0.282,0.294,0.882
0.09,0.046,0.082
0.954,0.734,0.894
0.644,0.492,0.43
0.146,0.06,0.644
0.88,0.71,0.098
0.596,0.276,0.794
0.496,0.276,0.568
0.856,0.74,0.94
0.06,0.03,0.304
0.64,0.382,0.44
0.984,0.814,0.7
0.804,0.732,0.502
0.342,0.234,0.764
0.492,0.336,0.284
0.882,0.462,0.854
0.592,0.412,0.964
0.314,0.258,0.79
0.38,0.242,0.776
0.516,0.352,0.456
0.054,0.028,0.158
0.84,0.714,0.886
0.258,0.148,0.688
0.414,0.198,0.17
0.032,0.016,0.212
0.45,0.248,0.864
0.37,0.2,0.562
0.74,0.736,0.77
0.738,0.664,0.872
0.272,0.208,0.038
0.448,0.384,0.392
0.528,0.518,0.796
0.08,0.09,0.242
0.374,0.252,0.238
0.83,0.73,0.17
0.08,0.032,0.25
0.178,0.142,0.646
0.158,0.092,0.342
0.522,0.446,0.73
0.742,0.374,0.718
0.95,0.69,0.57
0.024,0.014,0.586
0.192,0.114,0.532
0.32,0.142,0.022
0.536,0.444,0.176
0.98,0.606,0.792
0.096,0.052,0.372
0.534,0.444,0.42
0.23,0.106,0.154
0.702,0.448,0.828
0.474,0.452,0.962
0.066,0.044,0.006
0.886,0.642,0.462
0.82,0.628,0.944
0.784,0.634,0.378
0.64,0.326,0.678
0.904,0.582,0.606
0.14,0.096,0.386
0.506,0.344,0.284
0.46,0.348,0.624
0.062,0.038,0.028
0.528,0.514,0.766
0.642,0.582,0.206
0.04,0.014,0.704
0.108,0.044,0.138
0.058,0.03,0.4
0.476,0.286,0.21
0.086,0.068,0.412
0.144,0.05,0.86
0.41,0.33,0.698
0.032,0.02,0.87
0.04,0.014,0.09
0.814,0.73,0.556
0.92,0.62,0.446
0.196,0.118,0.144
0.95,0.668,0.932
0.84,0.832,0.994
0.68,0.532,0.212
0.868,0.566,0.162
0.394,0.396,0.388
0.004,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.004
0.032,0.002,0.06
0.002,0.002,0.014
0.004,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.042
0.006,0.002,0.07
0.002,0.002,0.026
0.002,0.002,0.066
0.006,0.002,0.012
0.002,0.002,0.006
0.002,0.002,0.014
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.016
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.02,0.002,0.034
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.014
0.008,0.002,0.794
0.002,0.002,0.08
0.002,0.002,0.362
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.158
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.018
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.022
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.114
0.002,0.002,0.002
0.002,0.002,0.838
0.002,0.002,0.034
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.082
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.006
0.006,0.002,0.018
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.006
0.002,0.002,0.02
0.002,0.002,0.002
0.004,0.002,0.004
0.002,0.002,0.052
0.002,0.002,0.048
0.002,0.002,0.002
0.002,0.002,0.002
0.048,0.012,0.266
0.002,0.002,0.01
0.002,0.002,0.042
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.238
0.002,0.002,0.014
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.06
0.002,0.002,0.01
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.004,0.002,0.038
0.002,0.002,0.05
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.052
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.114
0.002,0.002,0.002
0.006,0.002,0.052
0.004,0.002,0.104
0.002,0.002,0.056
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.11
0.002,0.002,0.002
0.002,0.002,0.12
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.004
0.004,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.004,0.002,0.026
0.002,0.002,0.066
0.002,0.002,0.014
0.002,0.002,0.012
0.002,0.002,0.084
0.002,0.002,0.078
0.002,0.002,0.004
0.002,0.002,0.018
0.002,0.002,0.59
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.01
0.002,0.002,0.144
0.01,0.006,0.26
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.008
0.004,0.002,0.014
0.002,0.002,0.01
0.002,0.002,0.028
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.076
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.044
0.002,0.002,0.006
0.002,0.002,0.092
0.002,0.002,0.002
0.002,0.002,0.08
0.002,0.002,0.002
0.002,0.002,0.202
0.002,0.002,0.08
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.032
0.002,0.002,0.018
0.004,0.002,0.024
0.002,0.002,0.006
0.002,0.002,0.006
0.004,0.002,0.024
0.002,0.002,0.004
0.002,0.002,0.896
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.014
0.002,0.002,0.006
0.004,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.1
0.002,0.002,0.002
0.01,0.002,0.04
0.002,0.002,0.012
0.002,0.002,0.002
0.006,0.002,0.026
0.002,0.002,0.334
0.002,0.002,0.138
0.002,0.002,0.08
0.002,0.002,0.032
0.002,0.002,0.002
0.002,0.002,0.066
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.012
0.004,0.002,0.01
0.002,0.002,0.042
0.002,0.002,0.002
0.002,0.002,0.076
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.066
0.002,0.002,0.002
0.002,0.002,0.246
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.062
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.044
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.442
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.022
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.026
0.002,0.002,0.034
0.004,0.002,0.056
0.008,0.002,0.014
0.01,0.002,0.082
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.114
0.002,0.002,0.01
0.004,0.002,0.012
0.002,0.002,0.024
0.002,0.002,0.012
0.002,0.002,0.004
0.002,0.002,0.072
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.036
0.002,0.002,0.606
0.002,0.002,0.056
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.006
0.002,0.002,0.38
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.008
0.002,0.002,0.008
0.002,0.002,0.008
0.004,0.002,0.054
0.002,0.002,0.008
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.064
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.006
0.004,0.002,0.014
0.002,0.002,0.504
0.002,0.002,0.018
0.008,0.002,0.038
0.002,0.002,0.014
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.152
0.002,0.002,0.042
0.002,0.002,0.004
0.002,0.002,0.064
0.012,0.002,0.148
0.006,0.002,0.022
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.002
0.002,0.002,0.1
0.002,0.002,0.334
0.002,0.002,0.002
0.004,0.002,0.112
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.02
0.004,0.002,0.032
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.186
0.002,0.002,0.004
0.004,0.002,0.01
0.002,0.002,0.03
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.016
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.03
0.002,0.002,0.628
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.014
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.166
0.002,0.002,0.004
0.002,0.002,0.03
0.002,0.002,0.006
0.002,0.002,0.58
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.036
0.004,0.002,0.074
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.012
0.002,0.002,0.006
0.002,0.002,0.008
0.004,0.002,0.004
0.002,0.002,0.058
0.002,0.002,0.126
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.118
0.002,0.002,0.002
0.002,0.002,0.338
0.002,0.002,0.022
0.002,0.002,0.006
0.008,0.002,0.37
0.002,0.002,0.108
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.018
0.006,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.032
0.002,0.002,0.046
0.002,0.002,0.008
0.002,0.002,0.004
0.006,0.002,0.712
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.022
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.04
0.002,0.002,0.056
0.002,0.002,0.046
0.002,0.002,0.016
0.002,0.002,0.102
0.002,0.002,0.024
0.002,0.002,0.002
0.002,0.002,0.006
0.006,0.002,0.04
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.016
0.002,0.002,0.002
0.002,0.002,0.024
0.004,0.002,0.026
0.002,0.002,0.01
0.002,0.002,0.04
0.002,0.002,0.002
0.016,0.006,0.102
0.002,0.002,0.094
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.054
0.002,0.002,0.012
0.002,0.002,0.016
0.002,0.002,0.256
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.002
0.004,0.002,0.026
0.004,0.002,0.126
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.042
0.002,0.002,0.14
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.032
0.002,0.002,0.014
0.002,0.002,0.056
0.002,0.002,0.032
0.002,0.002,0.024
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.006,0.002,0.01
0.002,0.002,0.008
0.002,0.002,0.008
0.002,0.002,0.016
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.008
0.002,0.002,0.006
0.024,0.004,0.076
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.288
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.084
0.002,0.002,0.02
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.01
0.002,0.002,0.018
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.026
0.004,0.002,0.082
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.848
0.004,0.002,0.01
0.002,0.002,0.002
0.044,0.03,0.192
0.002,0.002,0.002
0.002,0.002,0.034
0.002,0.002,0.004
0.002,0.002,0.002
0.012,0.002,0.064
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.012
0.002,0.002,0.084
0.002,0.002,0.032
0.002,0.002,0.002
